OBJECTID,LAKE_NAME,LAKE_CLASS,PERIMETER_M,AREA_M2,AREA_HA,ShapeSTArea,ShapeSTLength
1,Tennyson,Natural,7617.31789826,2323721.9206906,232.37219206,2323721.92069046,7617.31789826984
2,Rotoiti,Coastal Lake,614.31192822,24508.87753699,2.45088775,24508.87753698,614.311928222508
3,Rotorua,Coastal Lake,3795.27710905,432045.01424421,43.20450142,432045.01424433,3795.27710905163
4,Sarah,Waimakariri Regional Plan,1917.34289984,219936.19772907,21.99361977,219936.197729115,1917.34289984201
5,Grassmere,Waimakariri Regional Plan,3719.77802364,623269.81084739,62.32698108,623269.810847275,3719.77802364467
6,Pearson,Waimakariri Regional Plan,10899.82578029,2018481.83719842,201.84818371,2018481.83719867,10899.8257802908
7,Hawdon,Waimakariri Regional Plan,2605.37503491,353477.25808008,35.3477258,353477.25808022,2605.3750349121
8,Blackwater,Waimakariri Regional Plan,1526.53246617,128960.70938041,12.89607093,128960.709380385,1526.53246617226
9,Marymere,Waimakariri Regional Plan,2107.11872304,239896.30827707,23.98963082,239896.308277,2107.11872304438
10,Catherine,Small to Medium High Country Lake,2133.42537214,183999.5967764,18.39995967,183999.596776455,2133.42537214892
11,Henrietta,Small to Medium High Country Lake,837.98866712,43483.68621637,4.34836862,43483.686216395,837.988667127456
12,Coleridge,Large High Country Lake,49984.73700201,36864139.4015571,3686.41394015,36864139.4015572,49984.7370020131
13,Selfe,Small to Medium High Country Lake,4783.26377421,654130.29881608,65.41302988,654130.298815905,4783.26377421196
14,Ida,Small to Medium High Country Lake,1702.95206492,100358.30021704,10.03583002,100358.30021696,1702.95206492203
15,Evelyn,Small to Medium High Country Lake,2780.81448634,176287.61101663,17.6287611,176287.611016645,2780.8144863417
16,Lyndon,Small to Medium High Country Lake,6812.1353061,883574.10058443,88.35741005,883574.100584335,6812.13530610035
17,Heron,Small to Medium High Country Lake,22957.70131935,6944406.30517669,694.44063051,6944406.3051772,22957.7013193597
18,Seagull,Natural,1127.81745377,69547.83704917,6.9547837,69547.837049265,1127.81745377184
19,Manuka,Natural,1539.09681868,100395.91398912,10.03959139,100395.913989185,1539.09681868542
20,Emily,Small to Medium High Country Lake,1705.22649913,193360.4009993,19.33604009,193360.40099917,1705.22649913654
21,Maori Lakes,Small to Medium High Country Lake,5446.09185398,225110.64761317,22.51106476,225110.64761323,5446.09185398636
22,Clearwater,Small to Medium High Country Lake,9263.48214767,1966328.21139953,196.63282113,1966328.21139916,9263.48214766963
23,Spider Lakes,Natural,2557.21294063,64031.55839389,6.40315583,64031.55839379,2557.2129406348
24,Camp,Small to Medium High Country Lake,3302.13863869,437428.80912055,43.74288091,437428.80912044,3302.13863869341
25,Lambies Lagoon,Small to Medium High Country Lake,203.08290855,2655.73148361,0.26557314,2655.731483635,203.082908553496
26,Roundabout,Small to Medium High Country Lake,1419.40286371,123978.67452358,12.39786745,123978.67452353,1419.40286371281
27,Emma,Small to Medium High Country Lake,7170.09897482,1667815.99294611,166.78159929,1667815.9929461,7170.09897483086
28,Trinity,Small to Medium High Country Lake,1211.4042884,70323.07238063,7.03230723,70323.072380595,1211.40428840085
29,Denny,Small to Medium High Country Lake,973.1494725,53829.27577001,5.38292757,53829.27577008,973.149472503266
30,Ellesmere / Te Waihora,Coastal Lake,137600.01197585,197656037.053753,19765.60370537,197656037.053753,137600.01197586
31,Forsyth,Coastal Lake,18127.95912044,5582746.68697254,558.27466869,5582746.68697255,18127.959120438
32,Tekapo,Large High Country Lake,75322.23133154,96624996.4733096,9662.49964733,96624996.4733103,75322.2313315397
33,Alexandrina,Small to Medium High Country Lake,17574.28384621,6459176.12135912,645.91761213,6459176.12135923,17574.2838462141
34,Pukaki,Large High Country Lake,88827.66231977,172836986.737058,17283.6986737,172836986.737057,88827.662319774
35,McGregor,Small to Medium High Country Lake,2596.46707069,371175.52206737,37.1175522,371175.5220672,2596.46707069067
36,Roys Lagoon,Small to Medium High Country Lake,2909.05229786,247577.69942397,24.75776994,247577.69942392,2909.05229786769
37,Ohau,Large High Country Lake,50021.77865657,59319900.9029543,5931.99009029,59319900.9029549,50021.7786565723
38,Ruataniwha,Artificial On-river Lake,16407.4925092,3493786.73575998,349.37867357,3493786.73576059,16407.4925092081
39,Benmore,Artificial On-river Lake,146913.11406322,75899150.9508737,7589.91509508,75899150.9508751,146913.114063221
40,Aviemore,Artificial On-river Lake,49932.53852405,28359051.7342452,2835.90517342,28359051.7342459,49932.5385240511
41,Waitaki,Artificial On-river Lake,24436.51501664,5668594.03395592,566.85940339,5668594.03395582,24436.5150166511
42,Murray,Small to Medium High Country Lake,1179.21334875,60928.79207201,6.0928792,60928.792072085,1179.2133487605
43,The Black Hole,Small to Medium High Country Lake,1262.17689428,37928.55648116,3.79285564,37928.55648106,1262.176894289
44,Wainono Lagoon,Coastal Lake,13384.96395634,3984152.74098392,398.41527409,3984152.74098458,13384.963956341
45,Vagabonds Inn,Waimakariri Regional Plan,521.7038199,17799.18680057,1.77991868,17799.18680063,521.703819907695
46,Lilian,Small to Medium High Country Lake,1279.72700303,92185.55482665,9.21855548,92185.554826735,1279.72700303515
47,Opuha,Opihi Regional Plan,15504.78413316,7414025.85872853,741.40258587,7414025.85872913,15504.7841331676
48,Lake Hood,Artificial Other Lake,10505.40759145,769984.79481576,76.99847948,769984.794815825,10505.4075914522
49,Ohau Lagoons,Small to Medium High Country Lake,413.57074304,7639.52431428,0.76395243,7639.524314275,413.570743042144
50,Ohau Lagoons,Small to Medium High Country Lake,771.60592564,31560.75601489,3.1560756,31560.75601486,771.60592564485
51,Ohau Lagoons,Small to Medium High Country Lake,231.94273747,2860.37135152,0.28603713,2860.37135155,231.942737471813
52,Ohau Lagoons,Small to Medium High Country Lake,337.35755088,7250.47355927,0.72504735,7250.473559255,337.357550879484
53,Ohau Lagoons,Small to Medium High Country Lake,1689.25918786,111790.81111684,11.17908111,111790.811116835,1689.25918786613
54,Ohau Lagoons,Small to Medium High Country Lake,250.36252568,2908.19229328,0.29081922,2908.19229325,250.36252568827
55,Ohau Lagoons,Small to Medium High Country Lake,221.78775197,3282.56106315,0.3282561,3282.56106313,221.787751979643
56,Ohau Lagoons,Small to Medium High Country Lake,269.34949229,3318.72751701,0.33187275,3318.727516995,269.349492298338
57,Ohau Lagoons,Small to Medium High Country Lake,445.30253469,10496.96423801,1.04969642,10496.964238,445.302534693244
58,Ohau Lagoons,Small to Medium High Country Lake,281.5513368,4753.06460286,0.47530646,4753.064602855,281.551336804434
59,Ohau Lagoons,Small to Medium High Country Lake,518.59630867,18803.39728014,1.88033972,18803.397280145,518.596308674618
60,Ohau Lagoons,Small to Medium High Country Lake,683.65409112,27737.5614022,2.77375614,27737.56140221,683.654091123794
61,Ohau Lagoons,Small to Medium High Country Lake,125.94850006,1162.75309553,0.1162753,1162.75309554,125.948500068738
62,Ohau Lagoons,Small to Medium High Country Lake,428.10561404,5709.23453488,0.57092345,5709.234534895,428.10561404639
63,Ohau Lagoons,Small to Medium High Country Lake,144.21513257,1317.78591855,0.13177859,1317.78591853,144.215132570368
64,Ohau Lagoons,Small to Medium High Country Lake,575.26411771,23283.39182934,2.32833918,23283.391829355,575.264117715961
65,Ohau Lagoons,Small to Medium High Country Lake,2963.95705445,333198.59684678,33.31985968,333198.59684684,2963.95705445076
66,Ohau Lagoons,Small to Medium High Country Lake,1982.71656077,235173.37325181,23.51733732,235173.3732517,1982.71656078026
67,Ohau Lagoons,Small to Medium High Country Lake,352.15445668,9423.99304749,0.9423993,9423.993047475,352.154456686605
68,Ohau Lagoons,Small to Medium High Country Lake,185.79549617,2574.97049337,0.25749704,2574.970493395,185.795496172921
69,Ohau Lagoons,Small to Medium High Country Lake,3018.73953825,272020.99686591,27.20209968,272020.996865925,3018.73953825018
70,Ohau Lagoons,Small to Medium High Country Lake,3018.73953825,272020.99686591,27.20209968,272020.996865925,3018.73953825018
71,Lake Letitia,Waimakariri Regional Plan,3195.89797686,291803.92619852,29.18039261,291803.926198585,3195.89797686295
72,Coopers Lagoon,Coastal Lake,874.11274391,19016.74332275,1.90167433,19016.74332275,874.112743916383
73,Coopers Lagoon,Coastal Lake,5178.42553944,411827.13884735,41.18271388,411827.13884734,5178.42553944074
74,Washdyke Lagoon,Coastal Lake,230.96282425,3042.59565125,0.30425956,3042.59565124,230.962824254062
75,Washdyke Lagoon,Coastal Lake,2959.58932361,230207.92275776,23.02079227,230207.922757755,2959.58932361584
76, ,Natural State,1173.09174194,61148.64699554,6.11486469,61148.64699546,1173.09174194473
